name,facebook,twitter,state,"NPR ""denier or doubter""",Trump endorsed? (*may soon),party,INCUMBENT?,Filing deadline,Primary date,Follow the money URL,OpenSecrets URL,Ballotpedia race URL,Notes,Quotes from candidates,Withdrew?,Fundraising,,,,,,,,,
Mark Fincham,http://www.facebook.com/RealMarkFinchem,@RealMarkFinchem,AZ,Y,Y,AF,,4/4/2022,8/2/2022,,,"https://ballotpedia.org/Arizona_Secretary_of_State_election,_2022",https://www.azcentral.com/story/news/politics/arizona/2022/01/19/arizona-secretary-state-candidates-big-fundraising-haul-2-2-million/6581290001/,"""Donald Trump won... the Arizona election should be decertified"" - Fincham at Trump's Arizona rally ; has touted a claim that there were “34,000 or 35,000 fictitious voters … inserted” into vote totals in Pima County. https://www.azcentral.com/story/news/politics/arizona/2021/11/23/trump-presses-ariz-attorney-general-mark-brnovich-election-probe/8735450002/",,,,,,,,"""",Mark Fincham,""" OR ","""Mark Fincham"" OR "
Reginald Bolding,https://www.facebook.com/reginald.bolding,@reginaldbolding,AZ,,,D,,4/4/2022,8/2/2022,,,"https://ballotpedia.org/Arizona_Secretary_of_State_election,_2022",,,,,,,,,,"""",Reginald Bolding,""" OR ","""Reginald Bolding"" OR "
Brad Raffensperger,https://www.facebook.com/BradForGeorgiaSOS,@GaSecofState,GA,,,R,Y,3/11/2022,5/24/2022,,,"https://ballotpedia.org/Georgia_Secretary_of_State_election,_2022",,"“I’m standing on the truth. They’re sitting on lies,”  https://www.ajc.com/politics/gop-hopeful-for-georgia-election-chief-campaigns-on-2020-denial/JPOJUONPAJGBTDNXMY5IUTBHWQ/",,,,,,,,,,,
Jody Hice,https://www.facebook.com/jodyhice,@JodyHice,GA,Y,Y,AF,,3/11/2022,5/24/2022,https://www.followthemoney.org/entity-details?eid=6805581,https://www.opensecrets.org/members-of-congress/jody-hice/summary?cid=N00032243,"https://ballotpedia.org/Georgia_Secretary_of_State_election,_2022",,"""Stop the fraud""; said if 2020 was a “fair election, it would be a different outcome""; objected to certification https://www.gpb.org/news/2021/03/22/rep-jody-hice-who-pushed-false-election-conspiracies-announces-secretary-of-state; filed a lawsuit; also told right-wing media outlet Newsmax in November that he was not ""convinced at all, not for one second, that Joe Biden won the state of Georgia."" ; Rep. Jody Hice has claimed that “700,000 people are illegal voters” in Georgia and said, “I believe if there was a fair election, it would be a different outcome.” As a member of Congress, Hice voted against certifying Biden’s victory.",,,,,,,,,,,
Jocelyn Benson,https://www.facebook.com/sosjocelynbenson,@JocelynBenson,MI,,,D,Y,Pending,Pending,,,"https://ballotpedia.org/Michigan_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Kristina Karamo,https://www.facebook.com/KristinaforSOS,@KristinaKaramo,MI,Y,Y,AF,,Pending,Pending,,,"https://ballotpedia.org/Michigan_Secretary_of_State_election,_2022",,"Stop calling what the Democratic Party is pushing “voter rights”. Their attempts to intentionally weaken our election system is voter suppression and strengthening our election is true voter rights. Allowing legal votes to be nullified by illegal votes, violates our rights.;   claimed to observe election worker misbehavior https://www.cnn.com/2021/11/16/politics/kristina-karamo-michigan-secretary-of-state-candidate/index.html ;",,https://www.mlive.com/public-interest/2022/02/trump-endorsed-kristina-karamo-outraising-other-republican-secretary-of-state-candidates.html,,,,,,,,,
